iter	Passed	Remaining
0	69	69132
1	72	36203
2	77	25802
3	80	20071
4	82	16488
5	84	14028
6	87	12408
7	91	11328
8	94	10395
9	97	9632
10	99	8980
11	102	8452
12	105	8011
13	108	7649
14	112	7362
15	114	7042
16	118	6845
17	120	6591
18	123	6366
19	125	6148
20	127	5924
21	128	5710
22	130	5531
23	132	5372
24	133	5213
25	135	5065
26	136	4923
27	137	4787
28	139	4668
29	140	4557
30	142	4449
31	143	4348
32	145	4267
33	147	4182
34	148	4088
35	149	3999
36	150	3929
37	152	3852
38	153	3777
39	154	3700
40	155	3633
41	156	3568
42	157	3508
43	158	3453
44	160	3402
45	161	3349
46	162	3298
47	163	3246
48	164	3200
49	165	3153
50	167	3107
51	168	3064
52	169	3023
53	170	2981
54	171	2942
55	172	2908
56	173	2876
57	175	2846
58	176	2811
59	177	2779
60	178	2747
61	179	2719
62	180	2687
63	181	2657
64	182	2626
65	183	2595
66	184	2569
67	185	2540
68	186	2515
69	187	2494
70	188	2471
71	189	2448
72	191	2425
73	191	2402
74	192	2379
75	193	2356
76	194	2335
77	195	2314
78	196	2293
79	197	2272
80	198	2252
81	199	2235
82	200	2213
83	201	2196
84	202	2182
85	204	2170
86	205	2155
87	206	2140
88	207	2124
89	208	2112
90	209	2096
91	210	2081
92	211	2066
93	213	2053
94	214	2039
95	215	2025
96	216	2013
97	217	2002
98	218	1990
99	219	1979
100	221	1967
101	222	1956
102	223	1945
103	224	1933
104	225	1922
105	226	1909
106	227	1897
107	228	1885
108	229	1874
109	230	1863
110	231	1854
111	232	1845
112	234	1837
113	235	1827
114	236	1817
115	237	1807
116	237	1795
117	239	1786
118	240	1777
119	241	1768
120	242	1759
121	242	1748
122	243	1739
123	244	1729
124	245	1721
125	247	1714
126	248	1707
127	249	1700
128	250	1692
129	251	1684
130	252	1676
131	253	1667
132	254	1659
133	255	1649
134	256	1640
135	257	1632
136	257	1624
137	258	1616
138	259	1608
139	260	1602
140	262	1596
141	263	1589
142	264	1583
143	265	1577
144	266	1570
145	267	1563
146	268	1558
147	269	1552
148	270	1546
149	271	1540
150	272	1533
151	273	1527
152	274	1520
153	275	1514
154	276	1509
155	278	1504
156	279	1499
157	280	1493
158	281	1487
159	282	1482
160	283	1474
161	283	1468
162	284	1462
163	285	1457
164	286	1451
165	287	1445
166	288	1439
167	289	1434
168	290	1428
169	292	1426
170	293	1421
171	294	1416
172	295	1410
173	296	1406
174	297	1400
175	298	1395
176	299	1391
177	300	1386
178	301	1380
179	301	1375
180	303	1371
181	303	1366
182	304	1361
183	306	1357
184	307	1353
185	308	1349
186	309	1344
187	310	1340
188	311	1336
189	312	1331
190	313	1327
191	314	1322
192	315	1318
193	316	1314
194	317	1309
195	318	1305
196	319	1301
197	320	1298
198	321	1295
199	323	1292
200	324	1289
201	325	1285
202	326	1282
203	327	1278
204	328	1274
205	329	1271
206	330	1267
207	331	1264
208	332	1260
209	334	1257
210	335	1254
211	336	1251
212	337	1248
213	339	1245
214	340	1243
215	341	1239
216	342	1236
217	343	1232
218	344	1228
219	345	1224
220	346	1220
221	347	1217
222	348	1213
223	349	1211
224	350	1208
225	352	1206
226	353	1203
227	354	1200
228	355	1196
229	356	1193
230	357	1189
231	358	1186
232	359	1182
233	360	1179
234	361	1176
235	362	1172
236	363	1169
237	364	1168
238	366	1165
239	367	1162
240	368	1159
241	369	1156
242	370	1153
243	371	1150
244	372	1147
245	373	1144
246	374	1141
247	375	1138
248	376	1135
249	377	1132
250	378	1130
251	379	1127
252	381	1125
253	382	1122
254	383	1119
255	384	1116
256	385	1113
257	386	1111
258	387	1108
259	388	1105
260	389	1102
261	390	1100
262	391	1098
263	392	1095
264	394	1093
265	395	1091
266	396	1088
267	397	1085
268	398	1082
269	399	1080
270	400	1077
271	401	1074
272	402	1071
273	403	1068
274	404	1065
275	405	1062
276	406	1060
277	407	1057
278	408	1055
279	409	1053
280	411	1051
281	412	1049
282	413	1047
283	414	1044
284	415	1042
285	416	1039
286	417	1036
287	418	1033
288	419	1031
289	420	1028
290	421	1025
291	421	1022
292	422	1020
293	424	1018
294	425	1016
295	426	1014
296	427	1012
297	428	1010
298	429	1007
299	430	1005
300	431	1002
301	432	1000
302	433	997
303	434	994
304	435	992
305	436	989
306	437	986
307	438	985
308	440	983
309	441	981
310	442	979
311	443	977
312	444	975
313	445	972
314	446	970
315	447	968
316	448	966
317	449	963
318	450	961
319	451	959
320	452	956
321	453	955
322	455	954
323	456	952
324	457	949
325	458	947
326	459	944
327	460	942
328	461	940
329	462	938
330	463	937
331	464	935
332	465	932
333	466	930
334	467	927
335	468	926
336	470	924
337	471	923
338	472	920
339	473	918
340	474	916
341	475	914
342	475	911
343	476	909
344	477	907
345	478	905
346	479	902
347	480	900
348	481	897
349	482	895
350	483	894
351	484	892
352	486	890
353	487	888
354	487	886
355	489	884
356	490	882
357	491	880
358	492	878
359	493	876
360	494	874
361	494	872
362	495	870
363	496	868
364	498	866
365	499	865
366	500	863
367	502	862
368	502	860
369	503	857
370	504	856
371	505	853
372	506	852
373	507	849
374	508	847
375	509	845
376	510	843
377	511	841
378	512	840
379	513	838
380	514	836
381	515	834
382	516	832
383	517	830
384	518	828
385	519	826
386	520	824
387	521	822
388	522	820
389	523	818
390	524	816
391	524	814
392	525	812
393	526	809
394	527	808
395	528	806
396	529	804
397	530	802
398	531	800
399	532	799
400	533	797
401	534	795
402	535	793
403	536	791
404	537	789
405	537	787
406	538	785
407	539	783
408	540	781
409	541	779
410	542	778
411	543	776
412	544	774
413	545	772
414	546	770
415	547	768
416	548	766
417	549	764
418	550	763
419	551	761
420	552	759
421	552	757
422	553	755
423	554	753
424	555	751
425	556	749
426	557	748
